;ID;GRP;Age.at.termination.weeks.;BW.start;BW.termination.g.;Lean.mass.g.;Fat.mass.g.;Insulin.pM.;Liver.weight.g.;TG..mmol.l;Chol..mmol.l.;Plaque.vol.manual.ggry..um.3.;plaque.val.manual.annotated.vnij;plaque.vol.predicted.vinj.um3;X;X.1
1;1a;LDLr-/- LFD;31;24,8;28,7;22,98;4,67;140;1,26;NA;NA;960000;0,00096;91991116,85;NA;NA
2;2a;LDLr-/- LFD;26;29,9;33,5;26,61;5,66;92.3;1,25;NA;NA;112000;0,000112;40879555,32;NA;NA
3;4a;LDLr-/- LFD;25;21,8;26;22,72;4,2;70;1,22;2,76;15,28;35300000;0,0353;52061190,64;NA;NA
4;5a;LDLr-/- LFD;25;22,3;28,3;27,81;13,03;73.4;1,13;NA;NA;24200000;0,0242;58172728,4;NA;NA
5;7a;LDLr-/- LFD;30;24,1;33,1;25,82;11,47;134;1,71;4,12;17,2;1,33e+08;0,133;116775015,4;NA;NA
6;9a;LDLr-/- LFD;27;23;27,3;22,77;3;67.3;1,27;NA;NA;26200000;0,0262;79987906,98;NA;NA
7;12a;LDLr-/- LFD;27;28;32,8;25,3;6,24;157;1,47;3,36;14,56;26700000;0,0267;142945666,3;NA;NA
8;16a;LDLr-/- LFD;29;27;28,6;23,84;3,58;69.5;0,99;NA;NA;12600000;0,0126;106614178,5;NA;NA
9;17a;LDLr-/- LFD;29;29,8;29,3;25,1;2,82;25.9;0,93;1,08;5,72;4770000;NA;NA;NA;NA
10;19a;LDLr-/- LFD;29;29,2;31,7;25,57;5,03;107;1,31;NA;NA;37500000;0,0375;59267989,58;NA;NA
11;20a;LDLr-/- LFD;27;27,3;27,5;23,88;2,59;<;0,82;NA;NA;9,32e+08;0,932;622385291,8;NA;NA
12;22a;LDLr-/- LFD;28;28,6;29,5;24,14;4;108;1,27;3,8;17,8;808000;0,000808;133906807,4;NA;NA
13;28a;LDLr-/- LFD;33;27,2;26,9;22,92;3,13;<;0,87;NA;NA;1,14e+08;0,114;256531472,3;NA;NA
14;29a;LDLr-/- LFD;30;23,6;33,8;24,87;7,59;208;1,22;NA;NA;8740000;NA;NA;NA;NA
15;30a;LDLr-/- LFD;30;27,2;28,8;23,16;3,86;<;1,26;1,44;8,16;14400000;0,0144;42546861,32;NA;NA
16;31a;LDLr-/- LFD;30;29,1;31,8;25,3;4,75;268;1,24;NA;NA;745000;0,000745;119183423,6;NA;NA
17;34a;LDLr-/- LFD;26;22,4;26,2;24,04;8,9;29.9;0,78;1,12;8,76;4,68e+08;0,468;319111980;NA;NA
18;35a;LDLr-/- LFD;26;26;29,3;23,22;2,01;54.3;1,25;NA;NA;292000;0,000292;93228895,11;NA;NA
19;37a;LDLr-/- LFD;23;25,5;33,6;26,04;6,66;152;1,43;NA;NA;368000;0,000368;79260045,84;NA;NA
20;38a;LDLr-/- LFD;23;25,6;30,3;24,85;4,72;127;1,49;3,72;15,64;1210000;0,00121;142487299;NA;NA
21;39a;LDLr-/- LFD;30;30,5;32,1;25,95;5,3;67.7;1,41;2,52;16,4;82600000;0,0826;177160053,4;NA;NA
22;41a;LDLr-/- LFD;26;27,5;29,3;25,25;2,86;69.1;0,84;NA;7,2;2,32e+08;0,232;395475256,2;NA;NA
23;3a;LDLr-/- WD;31;30,4;38,7;22,41;2,23;285;2,29;8,28;43,48;2,71e+08;0,271;292719435,1;NA;NA
24;6a;LDLr-/- WD;15;27,6;42;25,18;6,61;335;2,6;10,12;47,68;5,88e+08;0,588;539128611;NA;NA
25;8a;LDLr-/- WD;27;27,1;37,5;25,44;10,79;167;2,23;NA;NA;4,54e+08;0,454;398596077,3;NA;NA
26;10a;LDLr-/- WD;27;29,6;31,8;25,07;5,39;109;1,48;4;34,88;1,83e+08;0,183;303338683,5;NA;NA
27;11a;LDLr-/- WD;27;25,1;35,9;24,99;9,72;205;1,46;NA;NA;2,19e+08;0,219;481403878,5;NA;NA
28;13a;LDLr-/- WD;27;26,6;40;25,66;13,53;247;1,81;NA;NA;4,79e+08;NA;NA;NA;NA
29;14a;LDLr-/- WD;27;27,5;34,7;25,05;8,88;92.6;1,5;NA;NA;6,97e+08;0,697;655626881,8;NA;NA
30;15a;LDLr-/- WD;29;23,8;37,3;26,14;9,96;33.7;1,93;5,6;41,04;9,19e+08;0,919;825269806,4;NA;NA
31;18a;LDLr-/- WD;29;29,6;40,5;27,67;12,08;269;2,43;NA;NA;5,37e+08;0,537;635226274,7;NA;NA
32;21a;LDLr-/- WD;28;28,8;40,1;26,71;12,55;192;2,26;12,16;48,2;6,03e+08;0,603;579276342,5;NA;NA
33;23a;LDLr-/- WD;28;25,7;36,2;25,61;9,52;218;1,45;9,72;30,6;1,01e+09;1,01;1025433083;NA;NA
34;24a;LDLr-/- WD;26;25,7;34,9;24,57;9,16;189;1,59;NA;NA;2,78e+08;0,278;292546010;NA;NA
35;25a;LDLr-/- WD;25;20,9;36,5;25,18;10,25;128;1,99;6,68;36,44;2,38e+08;0,238;394541126,9;NA;NA
36;26a;LDLr-/- WD;25;23,9;29,4;22,29;6;124;1,42;8,8;40,52;6,46e+08;0,646;607924135,5;NA;NA
37;27a;LDLr-/- WD;33;22,5;28,8;23,15;5,18;<;0,97;NA;NA;1,06e+09;NA;NA;NA;NA
38;32a;LDLr-/- WD;26;26,4;34,9;27,36;14,26;235;1,24;6,76;42,4;4,7e+08;0,47;514476874,2;NA;NA
39;33a;LDLr-/- WD;26;24,9;34,2;23,8;8,92;91.6;1,3;NA;NA;2,86e+08;0,286;267074956,3;NA;NA
40;36a;LDLr-/- WD;23;26,9;43,5;23,59;4,84;193;2,74;NA;NA;6,81e+08;0,681;564182891,4;NA;NA
41;40a;LDLr-/- WD;30;30,4;36;26,73;8,2;214;1,63;NA;NA;5,29e+08;0,529;488811633,2;NA;NA
42;42a;LDLr-/- WD;26;26,7;33,7;26,46;6,61;;1,21;NA;19,6;2,5e+09;NA;NA;NA;NA
